code_cbna	libelle	AGEFLOW_MAX	AGEFLOW_MIN	C_Plant	CLONRATE	CNRATIO	DNA	ELLAER_INDK	ELLCONT	ELLCONT_INDK	ELLHUMUS_INDK	ELLLITE	ELLLITE_INDK	ELLMOIST	ELLMOIST_INDK	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLPH	ELLREAC_INDK	ELLSALT	ELLTEMP	ELLTEMP_INDK	FECUNDITY	GERMRATE	L_ANGLE	L_AREA	L_DRYM	L_FRESHM	L_THICK	LATSPR	LCCp	LD13C	LD15N	LDMC	Leaf_T_Strength	LKC	LNC	LPC	MAX_AGE	MOW_TOLERANCE_INDK	N_Plant	NBCHROM	Palatability	PL_H_flora_MIN	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	ROOT_DEPTH_INDK	SEED_LONGEVITY_INDK	SEEDH	SEEDL	SEEDM	SEEDW	SLA	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK_VAR	ELLCONT_INDK_VAR	ELLHUMUS_INDK_VAR	ELLLITE_INDK_VAR	ELLMOIST_INDK_VAR	ELLNIT_INDK_VAR	ELLREAC_INDK_VAR	ELLSALT_INDK	ELLTEMP_INDK_VAR	ENDEM	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_FORM	L_LONG	LHIST	LIFESPAN	LPERST_INDK	MAN_INFLUENCE_INDK	MEDIC_POISON_FX_INDK	MOW	MYCORR	NATURAL	NUTR	PLOIDY	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOTMET	ROSET	SEEDPROD	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY	CODE_CBNA
13947	Carex fritschii Waisb.							2		4	2		3		2.5	2		2		2			4.5																		2																								myrmecochory		in larger groups	forest plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June					idiochorophytes or indigenes						Hemicryptophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							anemogamous	unisexual and monoecious					thick rhizome	ccs		basal lateral shoots		13947
13948	Carex fuliginosa Schkuhr							2		3	2		5		3.5	2		2		2			1.5																																										epichory_meteorochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)		small variation (I)		June	August					idiochorophytes or indigenes						Hemicryptophyte		wintergreen	moderately close to nature (moderately urbanophobous)	edible							anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		basal lateral shoots		13948
13959	Carex grioletii Roemer											2						2																											40			70																Unassisted dispersal																	Achene					raceme of spikes	spike				Hemicryptophyte							Indigenous	Chlorophyllian													Herbaceous	13959
13960	Carex halleriana Asso							3	7	4	2	8	3	9	1	1	3	2	4	5		5	4.5				3.145	0.01763	0.051165						0.33226913005528								5		15	8.5	7	27.5					2.171		18.713125865			>						Unassisted dispersal	meteorochory_myrmecochory	1	scattered or in small groups	unfertilized dry meadows	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		March	June	Achene				idiochorophytes or indigenes	raceme of spikes	spike		grass-like		Hemicryptophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Erosulate plant_Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots_below-ground runners	Herbaceous	13960
13964	Carex hartmanii Cajander							1		3	3		4		4	3		2		2			3.5																		1																								meteorochory		scattered or in small groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		April	June					idiochorophytes or indigenes						Hemicryptophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		basal lateral shoots_below-ground runners		13964
13965	Carex heleonastes L. fil.							1	6	2	3	8.5	4	7	4.5	3	5	1	7	2		7	3																				5			22.5			1		0.65	2.175		1.2				>				one-seeded generative dispersule		Unassisted dispersal	meteorochory	1	scattered or in small groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		May	July	Achene				idiochorophytes or indigenes	raceme of spikes	spike		grass-like		Helophyte_Hemicryptophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	hermaphroditic and normal sexual			Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	13965
13967	Carex hirta L.				6			1	2	3	2	7	3	7	3.5	3	5	4	6.5	3	0	5	3.5				11.44	0.04653615541							304.5						3		5		25	45	40	55	3		1.66	4.9	2.8145	1.775	17.9		little forage value	<		Stem-derived rhizomes		one-seeded generative dispersule	protogynous	Unassisted dispersal	meteorochory	5	in larger stands	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		April	July	Achene	Chilling	well tolerant to very tolerant		presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	raceme of spikes	spike	mesomorphic	grass-like	summer green	Geophyte_Helophyte_Hemicryptophyte	pluriennial	partly wintergreen	indifferent (urbanoneutral)	edible	moderately tolerant		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant		thick rhizome	ccr		below-ground runners	Herbaceous	13967
13969	Carex hispida Willd.							1		2	3	7	4		4.5	3		3		4			4.5																						50		70	90					1.12					=						Unassisted dispersal	meteorochory	2	scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		April	June	Achene				idiochorophytes or indigenes	raceme of spikes	spike				Geophyte_Helophyte_Hemicryptophyte		partly wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		below-ground runners	Herbaceous	13969
13971	Carex hordeistichos Vill.							1	5	4	2	7.5	5	2	3.5	2	3	3	8	4		6	4																				5		10	20	20	30					5.947				no or little forage value	=				one-seeded generative dispersule		Unassisted dispersal	hydrochory_meteorochory	1	scattered		large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	July	Achene		moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_mesomorphic	grass-like	persistent green	Hemicryptophyte	pluriennial	partly wintergreen	indifferent (urbanoneutral)	edible	sensitive to moderately tolerant		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Hemirosette plant		inconspicuous reserve organ	ccr		basal lateral shoots	Herbaceous	13971
13973	Carex hostiana DC.							1	1	2	3	8	4	9	4.5	3	3.5	2	5.5	4	0	5	3				1.17	0.00715							349						2		5		20		22.5	35			1.365	3.27	1.6632	1.465	15.985		no or little forage value	>					protogynous	Unassisted dispersal	meteorochory	2	in larger groups	wetland plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		May	June	Achene		sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_scleromorphic	grass-like	persistent green	Geophyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	edible	sensitive		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots_below-ground runners	Herbaceous	13973
13976	Carex humilis Leysser				0.5		1.1	1		4	2	8	3	6	1.5	3	2.5	2	6	5	0	4	3.5				1.22	0.00616							344.9						2		20.5		5	9	10	57.5	3.5				1.49		18.25		no or little forage value	>	Rooting stems			one-seeded generative dispersule	protandrous_protogynous	Unassisted dispersal	meteorochory_myrmecochory	3	in larger groups	forest plants	large variation (II)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		February	May	Achene		sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	mesomorphic_scleromorphic	grass-like	summer green	Hemicryptophyte	pluriennial	decidous	close to nature (strictly urbanophobous)	edible	sensitive		Indigenous	Chlorophyllian	tetraploid		anemogamous	unisexual and monoecious			Rosette plant		thick rhizome	css	no	basal lateral shoots_tussocks, tufts	Herbaceous	13976
13982	Carex lachenalii Schkuhr							1		2	3	8	5	7	4	3	1	1	4	2	0		1.5																						10		15	20				3	0.3352					=				one-seeded generative dispersule		Unassisted dispersal	meteorochory	3	in larger groups	wetland plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Achene				idiochorophytes or indigenes	raceme of spikes	spike				Hemicryptophyte		partly wintergreen	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		basal lateral shoots_below-ground runners	Herbaceous	13982
13985	Carex lasiocarpa Ehrh.							1		3	3	8	4	9.5	4.5	3	2.5	2	4	2	0	4	3				7.39	0.06396							387.18						2		5		50	65	60	57.5			1.2	3	0.975	1.515	10.7		little forage value	>				one-seeded generative dispersule	protogynous	Unassisted dispersal	meteorochory	2	in larger stands	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		May	June	Achene		intolerant to sensitive		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_scleromorphic	grass-like	persistent green	Geophyte_Helophyte_Hemicryptophyte_Hydrophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	edible	sensitive		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots_below-ground runners	Herbaceous	13985
13990	Carex limosa L.							1	5	3	3	8	4	6.5	5	1	2	1	4	2	0	6	3				0.88	0.00341							311.97								5		10	32.5	25	25	2		1.03	3.52	1.75	1.99	24.5			>				one-seeded generative dispersule	protogynous	Unassisted dispersal	meteorochory	2	in larger groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		May	June	Achene				idiochorophytes or indigenes	raceme of spikes	spike	helomorphic	grass-like	persistent green	Geophyte_Helophyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Hemirosette plant		inconspicuous reserve organ	sss		above-ground runners_below-ground runners	Herbaceous	13990
13998	Carex magellanica Lam. subsp. irrigua (Wahlenb.) Hiitonen							1		2	3	8	4		4.5	2		1		2			2																		1				10		17	25										=						Unassisted dispersal	meteorochory	1	scattered or in small groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Achene				idiochorophytes or indigenes	raceme of spikes	spike				Geophyte_Helophyte_Hemicryptophyte		wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		below-ground runners	Herbaceous	13998
14000	Carex mairei Cosson & Germ.							1		3	3		3		3.5	3		4		4			4																																										epichory_hydrochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		May	June					idiochorophytes or indigenes						Hemicryptophyte		partly wintergreen	moderately close to nature (moderately urbanophobous)	edible							anemogamous	unisexual and monoecious					inconspicuous reserve organ	crs		basal lateral shoots		14000
14003	Carex melanostachya M. Bieb. ex Willd.							2	4	5	2	6	4	4	4	3	3	3.5	6	4			4																				5		30	40	40	45				4.5										one-seeded generative dispersule		Unassisted dispersal	meteorochory	7	scattered or in small groups		large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	June	Achene				idiochorophytes or indigenes	raceme of spikes	spike		grass-like	summer green	Geophyte_Helophyte_Hemicryptophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Erosulate plant		inconspicuous reserve organ	css		below-ground runners	Herbaceous	14003
14004	Carex michelii Host							2		4	2		4		1.5	1		2		4			5																		1																								meteorochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June					idiochorophytes or indigenes						Geophyte_Hemicryptophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		below-ground runners		14004
14006	Carex microglochin Wahlenb.							1	3	4	2	8	5	6.5	4	2	4	1	8	4	0	6	1.5																				5		4	11	7	32.5			0.75	4.5	0.3882	0.725				>						Unassisted dispersal	hydrochory_meteorochory	1	scattered or in small groups	wetland plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Achene	Dry storage			idiochorophytes or indigenes	simple spike	spike		grass-like		Geophyte_Hemicryptophyte	pluriennial	wintergreen	close to nature (strictly urbanophobous)	edible		Arbuscular AM	Indigenous	Chlorophyllian			anemogamous	hermaphroditic and normal sexual	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	css		below-ground runners	Herbaceous	14006
14009	Carex montana L.							2		4	2	6	3	6	2.5	2	1	2	4	4	0		3				2.915	0.01184							314.82						2		5		12	20	16.5	25	1		1.2	2.925	0.99	1.325	17.7		little forage value	=				one-seeded generative dispersule	protandrous_protogynous	Unassisted dispersal	myrmecochory	5	in larger groups	forest plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		March	May	Achene		sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	mesomorphic	grass-like	summer green	Hemicryptophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible	sensitive to moderately tolerant		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Hemirosette plant		thick rhizome	ccs		basal lateral shoots	Herbaceous	14009
14011	Carex mucronata All.							3	4	4	1	7	5	3	1.5	1	3	1.5	9	5			2.5																				5		10	20	17	22.5				4	0.83	0.5				=						Unassisted dispersal	epichory	6	in larger groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	August	Achene				idiochorophytes or indigenes	raceme of spikes	spike	scleromorphic	grass-like	persistent green	Hemicryptophyte	pluriennial	wintergreen	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Erosulate plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	14011
14024	Carex nigra (L.) Reichard	5	3		1	19.95361547	1.1	1	2	3	3	8	3	8	4.5	3	2	3	3.5	3	0	6	4	6000			4.3729875	0.01809	0.07311			438.9628029			326.798794			21.95530176			3		5	3	25	35	16	33	4	3	0.67	2.4	0.745	1.435	21.68133647		no or little forage value	>		Stem-derived rhizomes		germinule_one-seeded generative dispersule	protandrous_protogynous	Unassisted dispersal	endochory_meteorochory	2	in larger stands	wetland plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		May	August_June	Achene	Dry storage	sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic	grass-like	summer green	Geophyte_Hemicryptophyte	pluriennial	partly wintergreen_wintergreen	moderately close to nature (moderately urbanophobous)	edible	sensitive to moderately tolerant		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	ccs_css	no	basal lateral shoots_below-ground runners	Herbaceous	14024
14031	Carex norvegica Retz.							1		2	3		4		4.5	3		1		3			1.5																		1																	=							meteorochory		scattered or in small groups	mountain plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	August					idiochorophytes or indigenes						Hemicryptophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							anemogamous	unisexual and monoecious					inconspicuous reserve organ	css		basal lateral shoots_below-ground runners		14031
14039	Carex ornithopoda Willd.							1.5	3	3.5	2.5	7	3	4.5	3.5	1.5	3	2	6.5	3.5	0	4	3.5				5.66	0.01893							262.72						1		5		4	12.5	10	15	2.5	3	1.055	2.945	0.8346	1.215	30.58			=->				one-seeded generative dispersule		Unassisted dispersal	meteorochory_myrmecochory	3	in larger stands_scattered or in small groups	forest plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	large variation (II)	small variation (I)	large variation (II)		large variation (II)		April	June	Achene	Chilling			idiochorophytes or indigenes	raceme of spikes	spike	mesomorphic_scleromorphic	grass-like	persistent green	Hemicryptophyte	pluriennial	partly wintergreen_wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	hermaphroditic and normal sexual_unisexual and monoecious	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	crs		basal lateral shoots_tussocks, tufts	Herbaceous	14039
14043	Carex ornithopoda Willd. subsp. ornithopodioides (Hausm.) Nyman							1	3	3	2	8	5	8	3	1	4	2		4			1																		1		5		3		5	26										=						Unassisted dispersal	myrmecochory	3	scattered or in small groups	mountain plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		June	July	Achene	Chilling			idiochorophytes or indigenes	raceme of spikes	spike		grass-like	persistent green	Hemicryptophyte	pluriennial	partly wintergreen	close to nature (strictly urbanophobous)	edible		Arbuscular AM	Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	14043
14048	Carex ovalis Good.		0					1	3	3	3	7	3	7	3.5	3	4	2.5	6.5	2	0	2	3				4.76	0.02184486572							336						2		5		20	40	25	35	1.5	4	0.7	2.925	0.56	1.525	24.035		little forage value	=			intermediate to high forage value	generative dispersule_germinule	protogynous	Unassisted dispersal	hydrochory_meteorochory	3	scattered or in small groups	wetland plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		May	July	Achene		sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_mesomorphic	grass-like	persistent green	Hemicryptophyte	pluriennial	partly wintergreen	moderately close to nature (moderately urbanophobous)	edible	moderately tolerant		Indigenous	Chlorophyllian			anemogamous_entomogamous	hermaphroditic and normal sexual	Polycarpic		Hemirosette plant		inconspicuous reserve organ	crs		basal lateral shoots_below-ground runners	Herbaceous	14048
14051	Carex pairae F.W. Schultz							2	5	2	2	7.5	3	9	2.5	2	1	2.5	1	3		3	3.5																		2		5		25		24.5	37.5	2									=					protogynous	Unassisted dispersal	meteorochory	6	in larger groups	forest plants	large variation (II)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	July	Achene				idiochorophytes or indigenes	raceme of spikes	spike		grass-like	persistent green	Hemicryptophyte	pluriennial	wintergreen	indifferent (urbanoneutral)	edible			Indigenous	Chlorophyllian			anemogamous	hermaphroditic and normal sexual			Rosette plant		inconspicuous reserve organ	ccs		basal lateral shoots	Herbaceous	14051
14052	Carex pallescens L.							1		3	3	6.5	3	6	3	3	4	2.5	5	2	0		3				5.4	0.014635							270.6						2		5		20	57.5	31.5	40	2.5	4	1	2.8	1.154	1.15	30.12		little forage value	=			no or little forage value	one-seeded generative dispersule	protogynous	Unassisted dispersal	meteorochory_myrmecochory	3	scattered or in small groups	fertilized meadow plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)	salt tolerant	large variation (II)		April	July	Achene		moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	mesomorphic	grass-like	summer green	Hemicryptophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible	sensitive to moderately tolerant		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant		inconspicuous reserve organ	crs		basal lateral shoots_tussocks, tufts	Herbaceous	14052
14054	Carex panicea L.	5	3				1.5	1	2	3	3	8	4	8	4.5	3	5	2	6	4	0	5	3	300			3.665	0.022061781855							380.47						2		10.5	3	15	50	17.5	25	1.5	3	1.61	3.125	2.3565	1.66	21.25		little forage value	>		Stem-derived rhizomes		generative dispersule_germinule_one-seeded generative dispersule	homogamous_protogynous	Unassisted dispersal	meteorochory	2	in larger groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt tolerant	large variation (II)		April	June	Achene	Chilling	sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_mesomorphic	grass-like	persistent green	Geophyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	edible	moderately tolerant		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	css		below-ground runners	Herbaceous	14054
14056	Carex paniculata L.							1	5	2	3	5.5	4	5	5	3	5	4	5	4		6	3				39.3	0.291502643							296.19						1		5		50		61.5	100			0.86	2.45	0.82	1.55	15.315		no or little forage value	=				one-seeded generative dispersule	protogynous	Unassisted dispersal	hydrochory_meteorochory	2	in larger groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)		large variation (II)		May	June	Achene		sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_scleromorphic	grass-like	summer green	Helophyte_Hemicryptophyte	pluriennial	partly wintergreen	moderately close to nature (moderately urbanophobous)	edible	intolerant to sensitive		Indigenous	Chlorophyllian			anemogamous	hermaphroditic and normal sexual			Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots_tussocks, tufts	Herbaceous	14056
14060	Carex parviflora Host							2	2	3	2	6.5	5	5	3.5	1	3	2	3	5			1			80	5.2	0.03965	0.11028	0.2	10				0.382388599167069						1		5		10	18.75	12	32.5				3.13	0.612		13.40630649			=						Unassisted dispersal	meteorochory	4	scattered	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	August	Achene	Chilling		graminoids	idiochorophytes or indigenes	raceme of spikes	spike		grass-like		Hemicryptophyte	pluriennial	partly wintergreen	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	crs		basal lateral shoots_below-ground runners	Herbaceous	14060
14061	Carex pauciflora Lighft.							1		2	3	8	4	9	4.5	2	1	1	1	1	0		2				0.485	0.00314							304.69								5		10	10	15	20	1		0.78	4.475	0.648372449	0.9	18.76			>				one-seeded generative dispersule		Unassisted dispersal	epichory	1	scattered or in small groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	June	Achene				idiochorophytes or indigenes	simple spike	spike	helomorphic_scleromorphic	grass-like	persistent green	Geophyte_Hemicryptophyte	pluriennial	wintergreen	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	hermaphroditic and normal sexual			Erosulate plant		inconspicuous reserve organ	sss		above-ground runners_basal lateral shoots	Herbaceous	14061
14062	Carex pendula Hudson							1	3	2	2	5	2	8.5	4	3	5.5	4	6.5	3	0	6	3.5				125.4	0.6857797446							301.5								5		70	100	70	115	3	4	1	2.51	0.66	1.115	13.3			<				one-seeded generative dispersule	protogynous	Unassisted dispersal	meteorochory	2	in larger groups	forest plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	large variation (II)		small variation (I)		May	June	Achene	Chilling			idiochorophytes or indigenes	raceme of spikes	spike	helomorphic_mesomorphic	grass-like	persistent green	Helophyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant_Rosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	14062
14063	Carex pilosa Scop.							2	1	4	2	6	2	7	3	2	3	3	7	2		6	4				43.67	0.178875							299.55								5		30	45	42.5	50	2		0.675	4.5	3.32	1.67	25.41			=				one-seeded generative dispersule		Unassisted dispersal	epichory_meteorochory	2	in large aeras, dominating	forest plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		April	June	Achene				idiochorophytes or indigenes	raceme of spikes	spike	mesomorphic	grass-like	persistent green	Geophyte_Hemicryptophyte	pluriennial	wintergreen	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious			Hemirosette plant		inconspicuous reserve organ	ccs		below-ground runners	Herbaceous	14063
14064	Carex pilulifera L.							1		2	2	6.5	3	5	2.5	2	2	2.5	3	1	0		3.5				2.09	0.01026045949							328						2		5		10	25	13.5	25		5	1.28	2.42	1.175	1.3	20.6		no or little forage value	=				one-seeded generative dispersule	protogynous	Unassisted dispersal	endochory_myrmecochory	3	in larger groups	forest plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)		small variation (I)		April	May	Achene		sensitive to moderately tolerant		idiochorophytes or indigenes	raceme of spikes	spike	mesomorphic	grass-like	persistent green	Hemicryptophyte	pluriennial	partly wintergreen	moderately close to nature (moderately urbanophobous)	edible	sensitive		Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	14064
14069	Carex praecox Schreber											8						2																																																																																															14069
14071	Carex praecox Schreber subsp. intermedia (Celak.) Schultze-Motel							1		4	2		3		1.5	2		2		3			4.5																																										epichory_meteorochory		scattered or in small groups		large variation (II)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	June					idiochorophytes or indigenes						Geophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							anemogamous	hermaphroditic and normal sexual					inconspicuous reserve organ	crs		below-ground runners		14071
14074	Carex pseudocyperus L.							1		4	3	7	4	9.5	5	2	4.5	3	4.5	3	0		4				38.56	0.15767							306.98						1		5		50	55	55	80			0.95	3.075	0.73	1.015	22.91			>				generative dispersule_germinule_one-seeded generative dispersule	protogynous	Unassisted dispersal	hydrochory_meteorochory	2	in larger groups	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	June	Achene	Chilling			idiochorophytes or indigenes	raceme of spikes	spike	helomorphic	grass-like	persistent green	Helophyte_Hemicryptophyte_Hydrophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			anemogamous	unisexual and monoecious	Polycarpic		Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	14074
